freq,currency,nace_r2,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,TOTAL,DEB11	7010.91 e	7342.82 e	7257.79 e	8037.01 e	: 
A,MIO_EUR,TOTAL,DEB12	3087.22 e	3163.18 e	3179.52 e	3331.54 e	: 
A,MIO_EUR,TOTAL,DEB13	3163.82 e	3227.83 e	3200.42 e	3363.97 e	: 
A,MIO_EUR,TOTAL,DEB14	4237.59 e	4314.69 e	4278.62 e	4575.69 e	: 
A,MIO_EUR,TOTAL,DEB15	2137.22 e	2201.22 e	2154.74 e	2236.04 e	: 
A,MIO_EUR,TOTAL,DEB17	6008.98 e	6179.91 e	6245.39 e	6346.73 e	: 
A,MIO_EUR,TOTAL,DEB18	5411.19 e	5594.78 e	5430.53 e	5766.69 e	: 
A,MIO_EUR,TOTAL,DEB1A	2932.01 e	3070.07 e	3203.27 e	3394.34 e	: 
A,MIO_EUR,TOTAL,DEB1B	6103.16 e	6388.36 e	6501.77 e	6862.18 e	: 
A,MIO_EUR,TOTAL,DEB1C	1710.63 e	1802.51 e	1818.6 e	1899.31 e	: 
A,MIO_EUR,TOTAL,DEB1D	3351.63 e	3405.76 e	3446.65 e	3597.88 e	: 
A,MIO_EUR,TOTAL,DEB2	14598.76 e	15041.23 e	15059.91 e	15562.57 e	16444.77 e
A,MIO_EUR,TOTAL,DEB21	4378.07 e	4450.48 e	4425.81 e	4501.12 e	: 
A,MIO_EUR,TOTAL,DEB22	3163.08 e	3286.66 e	3365.35 e	3455.18 e	: 
A,MIO_EUR,TOTAL,DEB23	2540.86 e	2671.35 e	2714.99 e	2800.03 e	: 
A,MIO_EUR,TOTAL,DEB24	1817.02 e	1835.55 e	1771.17 e	1862.88 e	: 
A,MIO_EUR,TOTAL,DEB25	2699.73 e	2797.19 e	2782.58 e	2943.36 e	: 
A,MIO_EUR,TOTAL,DEB3	69265.19 e	70780.41 e	69237.51 e	82106.53 e	86934.4 e
A,MIO_EUR,TOTAL,DEB31	1487.1 e	1620.7 e	1614.53 e	1709.77 e	: 
A,MIO_EUR,TOTAL,DEB32	4330.92 e	4455.97 e	4346.43 e	4550.56 e	: 
A,MIO_EUR,TOTAL,DEB33	1773.78 e	1828.7 e	1841.62 e	1969.64 e	: 
A,MIO_EUR,TOTAL,DEB34	12271.21 e	12450.62 e	11491.95 e	11982 e	: 
A,MIO_EUR,TOTAL,DEB35	11014.58 e	11294.19 e	11428.05 e	20684.96 e	: 
A,MIO_EUR,TOTAL,DEB36	1499.34 e	1542.45 e	1524.95 e	1581.47 e	: 
A,MIO_EUR,TOTAL,DEB37	1369.48 e	1404.62 e	1363.22 e	1439.35 e	: 
A,MIO_EUR,TOTAL,DEB38	2402.04 e	2508.36 e	2334.99 e	2540.29 e	: 
A,MIO_EUR,TOTAL,DEB39	2874.29 e	3050.55 e	2947.33 e	3155 e	: 
A,MIO_EUR,TOTAL,DEB3A	1530.93 e	1518.11 e	1441.19 e	1629 e	: 
A,MIO_EUR,TOTAL,DEB3B	2914.1 e	2966.95 e	2927.06 e	3108.01 e	: 
A,MIO_EUR,TOTAL,DEB3C	2668.26 e	2693.14 e	2659.14 e	2763.46 e	: 
A,MIO_EUR,TOTAL,DEB3D	1963.32 e	1967.89 e	1770.18 e	1917.67 e	: 
A,MIO_EUR,TOTAL,DEB3E	4330.87 e	4056.75 e	3860.66 e	4414.5 e	: 
A,MIO_EUR,TOTAL,DEB3F	1981.23 e	2048.39 e	2048.91 e	2204.9 e	: 
A,MIO_EUR,TOTAL,DEB3G	1126.76 e	1156.38 e	1166.63 e	1230.51 e	: 
A,MIO_EUR,TOTAL,DEB3H	2704.3 e	2798.9 e	2756.58 e	2865.23 e	: 
A,MIO_EUR,TOTAL,DEB3I	2774.84 e	2826.96 e	2766.48 e	2857.97 e	: 
A,MIO_EUR,TOTAL,DEB3J	6851.24 e	7169.98 e	7505.38 e	8000.96 e	: 
A,MIO_EUR,TOTAL,DEB3K	1396.59 e	1420.82 e	1442.22 e	1501.31 e	: 
A,MIO_EUR,TOTAL,DEC	32316.83 e	32314.76 e	31390.62 e	32914.6 e	35065.96 e
A,MIO_EUR,TOTAL,DEC0	32316.83 e	32314.76 e	31390.62 e	32914.6 e	35065.96 e
A,MIO_EUR,TOTAL,DEC01	13372.75 e	13282.23 e	13013.79 e	13751.78 e	: 
A,MIO_EUR,TOTAL,DEC02	2530.66 e	2579.18 e	2496.27 e	2655.91 e	: 
A,MIO_EUR,TOTAL,DEC03	3045.26 e	3090.79 e	3051.08 e	3135.13 e	: 
A,MIO_EUR,TOTAL,DEC04	5773 e	5801.55 e	5470.97 e	5462.12 e	: 
A,MIO_EUR,TOTAL,DEC05	5157.82 e	5134.3 e	5007.37 e	5542.4 e	: 
A,MIO_EUR,TOTAL,DEC06	2437.35 e	2426.72 e	2351.14 e	2367.27 e	: 
A,MIO_EUR,TOTAL,DED	112813.44 e	117511.42 e	116621.29 e	122557.37 e	132773.22 e
A,MIO_EUR,TOTAL,DED2	45152.19 e	47008.57 e	46828.48 e	49067.71 e	53244.42 e
A,MIO_EUR,TOTAL,DED21	20388.32 e	21290.49 e	21214.8 e	21914.42 e	: 
A,MIO_EUR,TOTAL,DED2C	7125.56 e	7494.54 e	7512.96 e	7946.79 e	: 
A,MIO_EUR,TOTAL,DED2D	6305.39 e	6608.85 e	6537.89 e	7070.87 e	: 
A,MIO_EUR,TOTAL,DED2E	6135.7 e	6255.7 e	6207.68 e	6569.09 e	: 
A,MIO_EUR,TOTAL,DED2F	5197.23 e	5359 e	5355.16 e	5566.53 e	: 
A,MIO_EUR,TOTAL,DED4	37033.7 e	38131.59 e	37388.74 e	39042.47 e	42175.57 e
A,MIO_EUR,TOTAL,DED41	8093.34 e	8381.04 e	8176.53 e	8498.34 e	: 
A,MIO_EUR,TOTAL,DED42	7250.54 e	7404.01 e	7341.66 e	7622.29 e	: 
A,MIO_EUR,TOTAL,DED43	7533.01 e	7752.4 e	7721.67 e	8037.81 e	: 
A,MIO_EUR,TOTAL,DED44	5267.57 e	5413.09 e	5433.19 e	5617.65 e	: 
A,MIO_EUR,TOTAL,DED45	8889.24 e	9181.06 e	8715.69 e	9266.38 e	: 
A,MIO_EUR,TOTAL,DED5	30627.55 e	32371.25 e	32404.07 e	34447.19 e	37353.23 e
A,MIO_EUR,TOTAL,DED51	19599.26 e	20701.81 e	20645.81 e	21635.67 e	: 
A,MIO_EUR,TOTAL,DED52	6132.67 e	6540.42 e	6685.4 e	7112 e	: 
A,MIO_EUR,TOTAL,DED53	4895.62 e	5129.03 e	5072.87 e	5699.52 e	: 
A,MIO_EUR,TOTAL,DEE	55964.3 e	58341.36 e	58175.58 e	61833.7 e	68071.97 e
A,MIO_EUR,TOTAL,DEE0	55964.3 e	58341.36 e	58175.58 e	61833.7 e	68071.97 e
A,MIO_EUR,TOTAL,DEE01	2182.07 e	2219.92 e	2248.67 e	2375.05 e	: 
A,MIO_EUR,TOTAL,DEE02	6719.35 e	6974.92 e	7126.51 e	7411.69 e	: 
A,MIO_EUR,TOTAL,DEE03	7511.17 e	7793.99 e	7782.4 e	8169.3 e	: 
A,MIO_EUR,TOTAL,DEE04	1811.64 e	1882.13 e	1930.03 e	1972.52 e	: 
A,MIO_EUR,TOTAL,DEE05	4222.06 e	4521.02 e	4448 e	4868.18 e	: 
A,MIO_EUR,TOTAL,DEE06	2092.3 e	2177.87 e	2206.69 e	2334.88 e	: 
A,MIO_EUR,TOTAL,DEE07	4351.76 e	4635.1 e	4549.09 e	4994.82 e	: 
A,MIO_EUR,TOTAL,DEE08	4094.69 e	4294.51 e	4172.97 e	4341.4 e	: 
A,MIO_EUR,TOTAL,DEE09	4654.44 e	4860.66 e	4709.09 e	4908.76 e	: 
A,MIO_EUR,TOTAL,DEE0A	2582.51 e	2695.48 e	2697.5 e	2803.33 e	: 
A,MIO_EUR,TOTAL,DEE0B	5913.32 e	6010.1 e	5756.49 e	6634.97 e	: 
A,MIO_EUR,TOTAL,DEE0C	4310.2 e	4571.1 e	4573.71 e	4901.07 e	: 
A,MIO_EUR,TOTAL,DEE0D	2673.22 e	2766.85 e	2873.21 e	3014.9 e	: 
A,MIO_EUR,TOTAL,DEE0E	2845.58 e	2937.73 e	3101.23 e	3102.84 e	: 
A,MIO_EUR,TOTAL,DEF	85641.46 e	89796.68 e	90324.54 e	95225.3 e	102113.42 e
A,MIO_EUR,TOTAL,DEF0	85641.46 e	89796.68 e	90324.54 e	95225.3 e	102113.42 e
A,MIO_EUR,TOTAL,DEF01	3364.37 e	3579.82 e	3543.11 e	3610.56 e	: 
A,MIO_EUR,TOTAL,DEF02	10693.23 e	10945.64 e	10894.34 e	11362.47 e	: 
A,MIO_EUR,TOTAL,DEF03	8477.19 e	8882.32 e	8726.52 e	9283.85 e	: 
A,MIO_EUR,TOTAL,DEF04	3091.14 e	3173.07 e	3268.18 e	3503.94 e	: 
A,MIO_EUR,TOTAL,DEF05	4150.33 e	4188.74 e	4121.29 e	4601.84 e	: 
A,MIO_EUR,TOTAL,DEF06	4170.41 e	4339.78 e	4342.04 e	4572.44 e	: 
A,MIO_EUR,TOTAL,DEF07	5091.31 e	5522.18 e	5580.42 e	5970.53 e	: 
A,MIO_EUR,TOTAL,DEF08	4849.49 e	5070.89 e	5076.57 e	5349.05 e	: 
A,MIO_EUR,TOTAL,DEF09	8442.68 e	8684.01 e	8588.71 e	9111.73 e	: 
A,MIO_EUR,TOTAL,DEF0A	2311.26 e	2509.76 e	2486.63 e	2629.89 e	: 
A,MIO_EUR,TOTAL,DEF0B	7138.94 e	7738.71 e	7938.39 e	8218.66 e	: 
A,MIO_EUR,TOTAL,DEF0C	4752.92 e	5003.47 e	5092.51 e	5551.03 e	: 
A,MIO_EUR,TOTAL,DEF0D	7819 e	8228.64 e	8453.07 e	8748.65 e	: 
A,MIO_EUR,TOTAL,DEF0E	3836.87 e	4204.85 e	4184.27 e	4375.26 e	: 
A,MIO_EUR,TOTAL,DEF0F	7452.34 e	7724.8 e	8028.48 e	8335.4 e	: 
A,MIO_EUR,TOTAL,DEG	56090.42 e	57528.71 e	57300.13 e	60136.99 e	64485.71 e
A,MIO_EUR,TOTAL,DEG0	56090.42 e	57528.71 e	57300.13 e	60136.99 e	64485.71 e
A,MIO_EUR,TOTAL,DEG01	7690.56 e	8022.52 e	8204.35 e	8632.2 e	: 
A,MIO_EUR,TOTAL,DEG02	2444.98 e	2511.33 e	2532.15 e	2675.92 e	: 
A,MIO_EUR,TOTAL,DEG03	4481.57 e	4612.65 e	4592.13 e	4869.08 e	: 
A,MIO_EUR,TOTAL,DEG04	1082.45 e	1115.61 e	1045.03 e	1087.3 e	: 
A,MIO_EUR,TOTAL,DEG05	1779.45 e	1837.35 e	1923.66 e	1996.85 e	: 
A,MIO_EUR,TOTAL,DEG06	2358.35 e	2404.62 e	2409.44 e	2512.39 e	: 
A,MIO_EUR,TOTAL,DEG07	1982.83 e	2027.21 e	1959.02 e	2057.93 e	: 
A,MIO_EUR,TOTAL,DEG09	2318.74 e	2354.01 e	2351.12 e	2442.13 e	: 
A,MIO_EUR,TOTAL,DEG0A	1519.95 e	1545.45 e	1563.18 e	1619.31 e	: 
A,MIO_EUR,TOTAL,DEG0B	3046.58 e	3134.96 e	3120.21 e	3241.88 e	: 
A,MIO_EUR,TOTAL,DEG0C	3453.33 e	3565.26 e	3557.54 e	3701.25 e	: 
A,MIO_EUR,TOTAL,DEG0D	1591.85 e	1665.72 e	1616.58 e	1699.04 e	: 
A,MIO_EUR,TOTAL,DEG0E	1311.96 e	1326.65 e	1391.28 e	1406.8 e	: 
A,MIO_EUR,TOTAL,DEG0F	2847 e	2966.25 e	2904.3 e	2945.06 e	: 
A,MIO_EUR,TOTAL,DEG0G	1818.27 e	1795.36 e	1798.03 e	1955.91 e	: 
A,MIO_EUR,TOTAL,DEG0H	1481.92 e	1448.11 e	1453.98 e	1465.31 e	: 
A,MIO_EUR,TOTAL,DEG0I	2561.9 e	2606.81 e	2498.48 e	2699.1 e	: 
A,MIO_EUR,TOTAL,DEG0J	1739.5 e	1804.03 e	1850.76 e	1989.83 e	: 
A,MIO_EUR,TOTAL,DEG0K	2153.22 e	2205.06 e	2233.27 e	2458.48 e	: 
A,MIO_EUR,TOTAL,DEG0L	2134.3 e	2138.56 e	2022.8 e	2117.47 e	: 
A,MIO_EUR,TOTAL,DEG0M	1797.01 e	1844.8 e	1828.19 e	1907.74 e	: 
A,MIO_EUR,TOTAL,DEG0N	1514.77 e	1490.12 e	1411.48 e	1485.78 e	: 
A,MIO_EUR,TOTAL,DEG0P	2979.93 e	3106.27 e	3033.17 e	3170.25 e	: 
A,MIO_EUR,TOTAL,DK0	258855.66 	266708.72 	268968.77 	296707.27 	330884.33 
A,MIO_EUR,TOTAL,DK01	107502.28 	109820.39 	111280.89 	127855.86 	149708.68 
A,MIO_EUR,TOTAL,DK011	49954.52 	51082.63 	51728.15 	63702.84 	79281.28 
A,MIO_EUR,TOTAL,DK012	39116.62 	39631 	40062.78 	43144.41 	48077.58 
A,MIO_EUR,TOTAL,DK013	17168.2 	17805.68 	18194.98 	19684.82 	20943.73 
A,MIO_EUR,TOTAL,DK014	1262.95 	1301.08 	1294.97 	1323.92 	1406.12 
A,MIO_EUR,TOTAL,DK02	25983.87 	27015.84 	26908.59 	28752.99 	29835.7 
A,MIO_EUR,TOTAL,DK021	7939.95 	8208.44 	8294.12 	8940.7 	9240.55 
A,MIO_EUR,TOTAL,DK022	18043.93 	18807.54 	18614.61 	19812.29 	20595.19 
A,MIO_EUR,TOTAL,DK03	48975.88 	50589.87 	50420.3 	54364.53 	58720.63 
A,MIO_EUR,TOTAL,DK031	17260.37 	17652.72 	17627.11 	18935.19 	20202.7 
A,MIO_EUR,TOTAL,DK032	31715.5 	32937.14 	32793.32 	35429.34 	38517.93 
A,MIO_EUR,TOTAL,DK04	54099.18 	56494.42 	57673.93 	61822.11 	67137.12 
A,MIO_EUR,TOTAL,DK041	18661.11 	19366.34 	19489.55 	20716.01 	22478.22 
A,MIO_EUR,TOTAL,DK042	35438.07 	37128.09 	38184.38 	41106.09 	44658.85 
A,MIO_EUR,TOTAL,DK05	22294.45 	22788.2 	22684.93 	23911.79 	25482.19 
A,MIO_EUR,TOTAL,DK050	22294.45 	22788.2 	22684.93 	23911.79 	25482.15 
A,MIO_EUR,TOTAL,DKZ	3469.11 	2719.63 	1476.35 	1940.43 	4419.21 
A,MIO_EUR,TOTAL,DKZZ	3469.11 	2719.63 	1476.35 	1940.43 	4419.21 
A,MIO_EUR,TOTAL,DKZZZ	3469.11 	2719.63 	1476.35 	1940.43 	4419.19 
A,MIO_EUR,TOTAL,EE0	22558.3 	24306.4 	24080.7 	27321.3 	31798.4 
A,MIO_EUR,TOTAL,EE00	22558.3 	24306.4 	24080.7 	27321.3 	31798.4 
A,MIO_EUR,TOTAL,EE001	14137.1 	15038.3 	15084.8 	16532.7 	19144 
A,MIO_EUR,TOTAL,EE004	1507.7 	1739.3 	1691.2 	1936.7 	2270.4 
A,MIO_EUR,TOTAL,EE008	3984.2 	4423.7 	4463.9 	5255.5 	6097 
A,MIO_EUR,TOTAL,EE009	1316.3 	1509.9 	1433.4 	1656.4 	1963.4 
A,MIO_EUR,TOTAL,EE00A	1613.1 	1595.2 	1407.3 	1939.9 	2323.5 
A,MIO_EUR,TOTAL,EL3	74260.06 	76214.28 	69799.51 	75710.93 	85329.67 p
A,MIO_EUR,TOTAL,EL30	74260.06 	76214.28 	69799.51 	75710.93 	85329.67 p
A,MIO_EUR,TOTAL,EL301	13422.89 	13994.95 	13009.08 	13992.14 	: 
A,MIO_EUR,TOTAL,EL302	4874.92 	5101.06 	4695.02 	5186.79 	: 
A,MIO_EUR,TOTAL,EL303	26331.78 	26842.88 	24539.79 	26574.62 	: 
A,MIO_EUR,TOTAL,EL304	8887.79 	9044.2 	8125.12 	8892.98 	: 
A,MIO_EUR,TOTAL,EL305	8785.22 	9023.04 	8209.94 	8995.66 	: 
A,MIO_EUR,TOTAL,EL306	3524.47 	3679.57 	3415.73 	3719.63 	: 
A,MIO_EUR,TOTAL,EL307	8432.99 	8528.58 	7804.84 	8349.12 	: 
A,MIO_EUR,TOTAL,EL4	15264.81 	15716.97 	13190.65 	14883.22 	17387.36 p
A,MIO_EUR,TOTAL,EL41	2137.82 	2191.25 	1972.9 	2120.73 	2378.04 p
A,MIO_EUR,TOTAL,EL411	1124.58 	1139.4 	1027.85 	1103.32 	: 
A,MIO_EUR,TOTAL,EL412	467.86 	482.29 	420.1 	455.95 	: 
A,MIO_EUR,TOTAL,EL413	545.38 	569.56 	524.94 	561.46 	: 
A,MIO_EUR,TOTAL,EL42	5315.8 	5508.23 	4330.48 	5025.37 	5924.42 p
A,MIO_EUR,TOTAL,EL421	2927.05 	3074.33 	2422.78 	2778.16 	: 
A,MIO_EUR,TOTAL,EL422	2388.75 	2433.9 	1907.69 	2247.21 	: 
A,MIO_EUR,TOTAL,EL43	7811.19 	8017.49 	6887.27 	7737.12 	9084.9 p
A,MIO_EUR,TOTAL,EL431	3731.91 	3788.83 	3269.34 	3692.58 	: 
A,MIO_EUR,TOTAL,EL432	1025.09 	1115.55 	1009.6 	1112.89 	: 
A,MIO_EUR,TOTAL,EL433	1037.25 	1069.38 	879.39 	990.68 	: 
A,MIO_EUR,TOTAL,EL434	2016.94 	2043.73 	1728.95 	1940.96 	: 
A,MIO_EUR,TOTAL,EL5	34304.13 	34538.63 	31695.03 	34574.61 	40030.12 p
A,MIO_EUR,TOTAL,EL51	5969.41 	6016.13 	5611.76 	6201.48 	7138.09 p
A,MIO_EUR,TOTAL,EL511	1546.8 	1573.51 	1487.9 	1609.37 	: 
A,MIO_EUR,TOTAL,EL512	943.35 	942.2 	870.07 	955.31 	: 
A,MIO_EUR,TOTAL,EL513	1004.42 	999.77 	999.54 	1128.02 	: 
A,MIO_EUR,TOTAL,EL514	872.58 	894.61 	822.4 	922.39 	: 
A,MIO_EUR,TOTAL,EL515	1602.25 	1606.04 	1431.86 	1586.39 	: 
A,MIO_EUR,TOTAL,EL52	21319.73 	21705.14 	19943.44 	21712.28 	24991.55 p
A,MIO_EUR,TOTAL,EL521	1377.08 	1405.97 	1337.89 	1449.13 	: 
A,MIO_EUR,TOTAL,EL522	13668.68 	13912.99 	12739.93 	13944.69 	: 
A,MIO_EUR,TOTAL,EL523	785.26 	800.48 	748.18 	820.69 	: 
A,MIO_EUR,TOTAL,EL524	1426.92 	1472.12 	1442.95 	1379.68 	: 
A,MIO_EUR,TOTAL,EL525	1253.73 	1286.93 	1160.47 	1286.9 	: 
A,MIO_EUR,TOTAL,EL526	1489.71 	1498.82 	1413.32 	1551.86 	: 
A,MIO_EUR,TOTAL,EL527	1318.36 	1327.83 	1100.71 	1279.33 	: 
A,MIO_EUR,TOTAL,EL53	3604.45 	3386.63 	2984.58 	3217.63 	4002.94 p
A,MIO_EUR,TOTAL,EL531	2430.14 	2247.42 	1943.43 	2157.51 	: 
A,MIO_EUR,TOTAL,EL532	422.43 	416.75 	386.32 	418.57 	: 
A,MIO_EUR,TOTAL,EL533	751.88 	722.45 	654.83 	641.55 	: 
A,MIO_EUR,TOTAL,EL54	3410.55 	3430.73 	3155.24 	3443.22 	3897.54 p
A,MIO_EUR,TOTAL,EL541	1229.74 	1210.52 	1106.42 	1227.32 	: 
A,MIO_EUR,TOTAL,EL542	482.66 	482.67 	430.55 	466.69 	: 
A,MIO_EUR,TOTAL,EL543	1698.15 	1737.54 	1618.28 	1749.21 	: 
A,MIO_EUR,TOTAL,EL6	31781.94 	32428.95 	30027.3 	32991.05 	38958.86 p
A,MIO_EUR,TOTAL,EL61	7869.49 	8095.22 	7544.35 	8252.56 	9375.37 p
A,MIO_EUR,TOTAL,EL611	2202.64 	2268.53 	2066.78 	2232.74 	: 
A,MIO_EUR,TOTAL,EL612	3438.24 	3524.48 	3352.38 	3680.67 	: 
A,MIO_EUR,TOTAL,EL613	2228.61 	2302.22 	2125.18 	2339.16 	: 
A,MIO_EUR,TOTAL,EL62	2733.93 	2804.62 	2222.23 	2551.3 	2939.75 p
A,MIO_EUR,TOTAL,EL621	631.06 	663.15 	505.61 	586.72 	: 
A,MIO_EUR,TOTAL,EL622	1340.97 	1363.04 	1094.88 	1235.24 	: 
A,MIO_EUR,TOTAL,EL623	501.23 	510.4 	405.94 	475.38 	: 
A,MIO_EUR,TOTAL,EL624	260.66 	268.03 	215.8 	253.96 	: 
A,MIO_EUR,TOTAL,EL63	6887.76 	6974.79 	6419.16 	6978.69 	7996.53 p
A,MIO_EUR,TOTAL,EL631	2042.08 	2014.46 	1863.78 	2144.48 	: 
A,MIO_EUR,TOTAL,EL632	3361.48 	3438.9 	3175.71 	3392.42 	: 
A,MIO_EUR,TOTAL,EL633	1484.2 	1521.43 	1379.67 	1441.79 	: 
A,MIO_EUR,TOTAL,EL64	7309.4 	7425.46 	7265.22 	8086.53 	10091.17 p
A,MIO_EUR,TOTAL,EL641	2363.28 	2471.49 	2539.96 	2848.34 	: 
A,MIO_EUR,TOTAL,EL642	2527.88 	2553.51 	2482.52 	2817.23 	: 
A,MIO_EUR,TOTAL,EL643	164.09 	166.12 	150.18 	164.2 	: 
A,MIO_EUR,TOTAL,EL644	1847.99 	1820.68 	1705.22 	1817.91 	: 
A,MIO_EUR,TOTAL,EL645	406.16 	413.66 	387.34 	438.84 	: 
A,MIO_EUR,TOTAL,EL65	6981.36 	7128.85 	6576.34 	7121.97 	8556.03 p
A,MIO_EUR,TOTAL,EL651	2534.5 	2585.19 	2420.54 	2715.74 	: 
A,MIO_EUR,TOTAL,EL652	1750.09 	1814.07 	1703.94 	1799.43 	: 
A,MIO_EUR,TOTAL,EL653	2696.76 	2729.59 	2451.86 	2606.8 	: 
A,MIO_EUR,TOTAL,ES1	89946 	92610 	84712 	91747 p	101051.7 p
A,MIO_EUR,TOTAL,ES11	56491 	58244 	53530 	57755 p	63567.3 p
A,MIO_EUR,TOTAL,ES111	24542.7 	25138.9 	23142.1 	24742.8 p	: 
A,MIO_EUR,TOTAL,ES112	6995.4 	7041.5 	6288.2 	6690.9 p	: 
A,MIO_EUR,TOTAL,ES113	6119.8 	6440.1 	5825.8 	6427.5 p	: 
A,MIO_EUR,TOTAL,ES114	18833.4 	19624 	18273.5 	19893.7 p	: 
A,MIO_EUR,TOTAL,ES12	21018 	21505 	19454 	21306 p	23506.6 p
A,MIO_EUR,TOTAL,ES120	21017.6 	21505 	19453.5 	21306.3 p	: 
A,MIO_EUR,TOTAL,ES13	12437 	12861 	11728 	12686 p	13977.8 p
A,MIO_EUR,TOTAL,ES130	12437.5 	12861.3 	11727.6 	12686.3 p	: 
A,MIO_EUR,TOTAL,ES2	124389 	128623 	117766 	126233 p	139470.1 p
A,MIO_EUR,TOTAL,ES21	65085 	67182 	60677 	65346 p	72233.9 p
A,MIO_EUR,TOTAL,ES211	11528.6 	11621.1 	10704.8 	11707.3 p	: 
A,MIO_EUR,TOTAL,ES212	21354.4 	22214.6 	19924.4 	21568.1 p	: 
A,MIO_EUR,TOTAL,ES213	32201.6 	33346.6 	30047.4 	32070.2 p	: 
A,MIO_EUR,TOTAL,ES22	18156 	18931 	17280 	18564 p	20568.9 p
A,MIO_EUR,TOTAL,ES220	18156.3 	18931.1 	17280.2 	18563.9 p	: 
A,MIO_EUR,TOTAL,ES23	7785 	8001 	7396 	7799 p	8649.8 p
A,MIO_EUR,TOTAL,ES230	7784.6 	8001.5 	7396.3 	7798.6 p	: 
A,MIO_EUR,TOTAL,ES24	33363 	34509 	32413 	34524 p	38017.5 p
A,MIO_EUR,TOTAL,ES241	5702.7 	5894.5 	5727.8 	6154.4 p	: 
A,MIO_EUR,TOTAL,ES242	3036.9 	3078.9 	2827.5 	3130.5 p	: 
A,MIO_EUR,TOTAL,ES243	24623.2 	25535.7 	23857.8 	25239.5 p	: 
A,MIO_EUR,TOTAL,ES3	209424 	219567 	199863 	214912 p	238242.3 p
A,MIO_EUR,TOTAL,ES30	209424 	219567 	199863 	214912 p	238242.3 p
A,MIO_EUR,TOTAL,ES300	209424.2 	219566.7 	199863.3 	214911.9 p	: 
A,MIO_EUR,TOTAL,ES4	108700 	111261 	103133 	111071 p	121503.2 p
A,MIO_EUR,TOTAL,ES41	52980 	54234 	50038 	53618 p	58466.7 p
A,MIO_EUR,TOTAL,ES411	2911.1 	3012.3 	2807.2 	2985.7 p	: 
A,MIO_EUR,TOTAL,ES412	9482.6 	9610.5 	8733.5 	9297.7 p	: 
A,MIO_EUR,TOTAL,ES413	8896.7 	9154.1 	8490.2 	9250.6 p	: 
A,MIO_EUR,TOTAL,ES414	3961.8 	3999.9 	3676.6 	3893.8 p	: 
A,MIO_EUR,TOTAL,ES415	6292.3 	6531.9 	6043.2 	6595.4 p	: 
A,MIO_EUR,TOTAL,ES416	3078 	3175.1 	2901.4 	3131.3 p	: 
A,MIO_EUR,TOTAL,ES417	2254.6 	2289.7 	2085.2 	2290.4 p	: 
A,MIO_EUR,TOTAL,ES418	13026 	13273.3 	12356.4 	12932.2 p	: 
A,MIO_EUR,TOTAL,ES419	3077.5 	3187.5 	2944.3 	3241 p	: 
A,MIO_EUR,TOTAL,ES42	37538 	38454 	35903 	38770 p	42526.3 p
A,MIO_EUR,TOTAL,ES421	7394.1 	7686.5 	7168.1 	7838.5 p	: 
A,MIO_EUR,TOTAL,ES422	9692.1 	9767.3 	9121 	9800.9 p	: 
A,MIO_EUR,TOTAL,ES423	4109.4 	4095.4 	3828.1 	4156.4 p	: 
A,MIO_EUR,TOTAL,ES424	4727.3 	4956.8 	4606.1 	4978.5 p	: 
A,MIO_EUR,TOTAL,ES425	11614.9 	11947.7 	11180 	11995.8 p	: 
A,MIO_EUR,TOTAL,ES43	18182 	18573 	17192 	18683 p	20510.2 p
A,MIO_EUR,TOTAL,ES431	11159.3 	11328.3 	10619.8 	11511.2 p	: 
A,MIO_EUR,TOTAL,ES432	7022.2 	7245 	6571.7 	7171.4 p	: 
A,MIO_EUR,TOTAL,ES5	338055.4 	351760.6 	313498.5 	341019.8 p	379635.1 p
A,MIO_EUR,TOTAL,ES51	207306 	216134 	194006 	209951 p	232271.3 p
A,MIO_EUR,TOTAL,ES511	155584.3 	162521.3 	146163 	157172.9 p	: 
A,MIO_EUR,TOTAL,ES512	18947.9 	19797.2 	17812.5 	19320.9 p	: 
A,MIO_EUR,TOTAL,ES513	10925.1 	11464.9 	10513.6 	11362.5 p	: 
A,MIO_EUR,TOTAL,ES514	21849 	22350.9 	19516.7 	22095 p	: 
A,MIO_EUR,TOTAL,ES52	101121 	104849 	95587 	103898 p	115079.1 p
A,MIO_EUR,TOTAL,ES521	32572.2 	33889.6 	31006.3 	33728.4 p	: 
A,MIO_EUR,TOTAL,ES522	14157.6 	14586.1 	12981.7 	14608.9 p	: 
A,MIO_EUR,TOTAL,ES523	54391.2 	56373.8 	51598.8 	55560.5 p	: 
A,MIO_EUR,TOTAL,ES53	29628.4 	30777.6 	23905.5 	27170.8 p	32284.7 p
A,MIO_EUR,TOTAL,ES531	3877.6 	4046.6 	2812.3 	3451.4 p	: 
A,MIO_EUR,TOTAL,ES532	23922.6 	24864.6 	19645.7 	22037.2 p	: 
A,MIO_EUR,TOTAL,ES533	1828.2 	1866.4 	1447.5 	1682.2 p	: 
A,MIO_EUR,TOTAL,ES6	176444 	181979 	165822 	181042 p	199995.1 p
A,MIO_EUR,TOTAL,ES61	145321 	149583 	135760 	148380 p	164061.5 p
A,MIO_EUR,TOTAL,ES611	13730.6 	14342.5 	13328.8 	14167.9 p	: 
A,MIO_EUR,TOTAL,ES612	20159.1 	20999.4 	18481.3 	20479.4 p	: 
