freq,currency,nace_r2,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,TOTAL,BE323	5971.2 	6246.8 	6146.4 	6384.2 	7005.2 p
A,MIO_EUR,TOTAL,BE328	6134.4 	6352 	6156.8 	6699 	7217.4 p
A,MIO_EUR,TOTAL,BE329	2355.6 	2439.8 	2366.5 	2636.4 	2864.7 p
A,MIO_EUR,TOTAL,BE32A	2596.2 	2678.2 	2542.5 	2747.9 	2912.4 p
A,MIO_EUR,TOTAL,BE32B	9671.3 	9485.3 	8973.5 	10301.1 	11070.1 p
A,MIO_EUR,TOTAL,BE32C	2275.5 	2347.7 	2348.9 	2444.3 	2713.3 p
A,MIO_EUR,TOTAL,BE32D	1495.5 	1557.2 	1500.9 	1620.2 	1764.5 p
A,MIO_EUR,TOTAL,BE33	28285.5 	29278.1 	28060.9 	31082.4 	34015.8 p
A,MIO_EUR,TOTAL,BE331	2359.7 	2578 	2646 	3173.3 	3874.3 p
A,MIO_EUR,TOTAL,BE332	17685.1 	18202.2 	17224.8 	18876 	20364.8 p
A,MIO_EUR,TOTAL,BE334	1325.3 	1388.2 	1361.4 	1508.5 	1643.4 p
A,MIO_EUR,TOTAL,BE335	4966.6 	5129.7 	4885.8 	5388.8 	5844.6 p
A,MIO_EUR,TOTAL,BE336	1948.8 	1980 	1942.9 	2135.8 	2288.7 p
A,MIO_EUR,TOTAL,BE34	6291.8 	6538.3 	6370.6 	7021.5 	7561.2 p
A,MIO_EUR,TOTAL,BE341	1349 	1428.6 	1371.8 	1469.7 	1562 p
A,MIO_EUR,TOTAL,BE342	982 	1039.9 	1010.8 	1183.4 	1247.4 p
A,MIO_EUR,TOTAL,BE343	1501.5 	1547.4 	1518.5 	1666.1 	1799.4 p
A,MIO_EUR,TOTAL,BE344	1590.8 	1639.5 	1602.8 	1749.2 	1906.2 p
A,MIO_EUR,TOTAL,BE345	868.5 	882.9 	866.7 	953.1 	1046.2 p
A,MIO_EUR,TOTAL,BE35	12045.6 	12322.8 	12006.3 	12973.5 	14178.1 p
A,MIO_EUR,TOTAL,BE351	2207.3 	2278.5 	2189.5 	2431.3 	2655.1 p
A,MIO_EUR,TOTAL,BE352	8726.4 	8901.6 	8671.6 	9321.9 	10199.9 p
A,MIO_EUR,TOTAL,BE353	1111.9 	1142.7 	1145.2 	1220.3 	1323.1 p
A,MIO_EUR,TOTAL,BEZ	221.5 	246.9 	250.4 	280.7 	310.1 p
A,MIO_EUR,TOTAL,BEZZ	221.5 	246.9 	250.4 	280.7 	310.1 p
A,MIO_EUR,TOTAL,BEZZZ	221.5 	246.9 	250.4 	280.7 	310.1 p
A,MIO_EUR,TOTAL,BG3	18206.77 	18770.25 	18584.98 	22458.85 	28239.1 
A,MIO_EUR,TOTAL,BG31	3411.2 	3419.59 	3652.04 	4355.48 	5104.97 
A,MIO_EUR,TOTAL,BG311	302.37 	324.81 	321.79 	406.35 	: 
A,MIO_EUR,TOTAL,BG312	525.67 	542.33 	572.33 	659.08 	: 
A,MIO_EUR,TOTAL,BG313	1096.52 	949.95 	1096.47 	1229.86 	: 
A,MIO_EUR,TOTAL,BG314	946.46 	1037.67 	1057.72 	1321.57 	: 
A,MIO_EUR,TOTAL,BG315	540.19 	564.83 	603.73 	738.62 	: 
A,MIO_EUR,TOTAL,BG32	3738.09 	3957.03 	3996.4 	4690.54 	5493.15 
A,MIO_EUR,TOTAL,BG321	1100.38 	1150.28 	1160.66 	1392.15 	: 
A,MIO_EUR,TOTAL,BG322	656.66 	689.81 	696.44 	774.25 	: 
