rowid,subject_category
513,Neurosciences & Neurology
513,Pharmacology & Pharmacy
513,Psychiatry
514,Meteorology & Atmospheric Sciences
515,Geriatrics & Gerontology
516,Pathology
517,Physics
518,Immunology
519,Pharmacology & Pharmacy
520,Cardiovascular System & Cardiology
521,Cardiovascular System & Cardiology
521,"Radiology, Nuclear Medicine & Medical Imaging"
522,Automation & Control Systems
522,Engineering
523,Orthopedics
523,Sport Sciences
524,Geology
524,Paleontology
525,"Dentistry, Oral Surgery & Medicine"
526,Paleontology
526,Pathology
527,Astronomy & Astrophysics
528,Neurosciences & Neurology
528,Zoology
529,Pharmacology & Pharmacy
530,Cardiovascular System & Cardiology
531,Physics
532,Physics
533,Astronomy & Astrophysics
534,Environmental Sciences & Ecology
534,Engineering
535,Optics
536,Science & Technology - Other Topics
537,Engineering
538,Nursing
538,Government & Law
539,Gastroenterology & Hepatology
540,Endocrinology & Metabolism
540,Cardiovascular System & Cardiology
541,Biochemistry & Molecular Biology
542,Mycology
543,Materials Science
544,Psychology
544,Behavioral Sciences
544,Zoology
545,Psychiatry
546,Astronomy & Astrophysics
547,Neurosciences & Neurology
548,Physiology
549,Physics
550,Astronomy & Astrophysics
551,Mathematics
552,Marine & Freshwater Biology
553,Endocrinology & Metabolism
553,Pediatrics
554,Endocrinology & Metabolism
554,Pediatrics
555,Endocrinology & Metabolism
555,Neurosciences & Neurology
556,Mathematics
557,Surgery
558,Nutrition & Dietetics
559,Anatomy & Morphology
560,Materials Science
561,Immunology
561,Reproductive Biology
562,Pharmacology & Pharmacy
563,Chemistry
564,Biochemistry & Molecular Biology
564,Chemistry
565,Social Sciences - Other Topics
565,Sociology
566,Neurosciences & Neurology
566,Orthopedics
567,Allergy
567,Immunology
568,Astronomy & Astrophysics
569,Chemistry
570,Surgery
570,Cardiovascular System & Cardiology
571,Immunology
571,Microbiology
572,Medical Laboratory Technology
573,Oncology
574,Immunology
575,Mathematics
576,Astronomy & Astrophysics
576,Physics
577,Mathematics
578,Orthopedics
579,Allergy
579,Immunology
