sc_1,sc_2,relatedness
Anatomy & Morphology,Ophthalmology,0.9045340337332909
Anatomy & Morphology,Optics,0
Anatomy & Morphology,Orthopedics,0.21661214442955296
Anatomy & Morphology,Otorhinolaryngology,0
Anatomy & Morphology,Paleontology,0
Anatomy & Morphology,Parasitology,0
Anatomy & Morphology,Pathology,0.06917144638660747
Anatomy & Morphology,Pediatrics,0.430730492253948
Anatomy & Morphology,Pharmacology & Pharmacy,0.4254178064122
Anatomy & Morphology,Physical Geography,0
Anatomy & Morphology,Physics,0
Anatomy & Morphology,Physiology,0.2660905781950872
Anatomy & Morphology,Plant Sciences,0
Anatomy & Morphology,Polymer Science,0
Anatomy & Morphology,Psychiatry,0.5917253957921756
Anatomy & Morphology,Psychology,0.46709936649691375
Anatomy & Morphology,Public Administration,0
Anatomy & Morphology,"Public, Environmental & Occupational Health",0
Anatomy & Morphology,"Radiology, Nuclear Medicine & Medical Imaging",0.3289758474798845
Anatomy & Morphology,Rehabilitation,0.22792115291927587
Anatomy & Morphology,Remote Sensing,0
Anatomy & Morphology,Reproductive Biology,0
Anatomy & Morphology,Research & Experimental Medicine,0.0861460984507896
Anatomy & Morphology,Respiratory System,0.16961338288818958
Anatomy & Morphology,Rheumatology,0
Anatomy & Morphology,Science & Technology - Other Topics,0
Anatomy & Morphology,Social Issues,0
Anatomy & Morphology,Social Sciences - Other Topics,0
Anatomy & Morphology,Sociology,0
Anatomy & Morphology,Spectroscopy,0
Anatomy & Morphology,Sport Sciences,0.40201512610368484
Anatomy & Morphology,Substance Abuse,0
Anatomy & Morphology,Surgery,0.5327954276661311
Anatomy & Morphology,Telecommunications,0
Anatomy & Morphology,Thermodynamics,0
Anatomy & Morphology,Toxicology,0.1722921969015792
Anatomy & Morphology,Transplantation,0.11396057645963795
Anatomy & Morphology,Tropical Medicine,0
Anatomy & Morphology,Urology & Nephrology,0
Anatomy & Morphology,Veterinary Sciences,0
Anatomy & Morphology,Virology,0
Anatomy & Morphology,Water Resources,0
Anatomy & Morphology,Zoology,0.23961691914926153
Anesthesiology,Acoustics,0
Anesthesiology,Agriculture,0
Anesthesiology,Allergy,0
Anesthesiology,Anatomy & Morphology,0.9045340337332909
Anesthesiology,Anesthesiology,0
Anesthesiology,Anthropology,0
Anesthesiology,Archaeology,0
Anesthesiology,Astronomy & Astrophysics,0
Anesthesiology,Audiology & Speech-Language Pathology,0
Anesthesiology,Automation & Control Systems,0
Anesthesiology,Behavioral Sciences,0.4539899450747864
Anesthesiology,Biochemistry & Molecular Biology,0.27811178879673704
Anesthesiology,Biodiversity & Conservation,0
Anesthesiology,Biomedical Social Sciences,0
Anesthesiology,Biophysics,0
Anesthesiology,Biotechnology & Applied Microbiology,0
Anesthesiology,Business & Economics,0
Anesthesiology,Cardiovascular System & Cardiology,0.3420552998472102
Anesthesiology,Cell Biology,0
Anesthesiology,Chemistry,0
Anesthesiology,Communication,0
Anesthesiology,Computer Science,0
Anesthesiology,Construction & Building Technology,0
Anesthesiology,Crystallography,0
Anesthesiology,Demography,0
Anesthesiology,"Dentistry, Oral Surgery & Medicine",0
Anesthesiology,Dermatology,0
Anesthesiology,Developmental Biology,0
Anesthesiology,Education & Educational Research,0
Anesthesiology,Electrochemistry,0
Anesthesiology,Endocrinology & Metabolism,0.3207501495497921
Anesthesiology,Energy & Fuels,0
Anesthesiology,Engineering,0
Anesthesiology,Entomology,0
Anesthesiology,Environmental Sciences & Ecology,0
Anesthesiology,Ethnic Studies,0
Anesthesiology,Evolutionary Biology,0
Anesthesiology,Food Science & Technology,0
Anesthesiology,Forestry,0
Anesthesiology,Gastroenterology & Hepatology,0
Anesthesiology,General & Internal Medicine,0
Anesthesiology,Genetics & Heredity,0
Anesthesiology,Geochemistry & Geophysics,0
Anesthesiology,Geography,0
Anesthesiology,Geology,0
Anesthesiology,Geriatrics & Gerontology,0.7071067811865475
Anesthesiology,Health Care Sciences & Services,0
Anesthesiology,Hematology,0.054312544659356844
Anesthesiology,History,0
Anesthesiology,Imaging Science & Photographic Technology,0
Anesthesiology,Immunology,0.11572751247156893
Anesthesiology,Infectious Diseases,0
Anesthesiology,Instruments & Instrumentation,0
Anesthesiology,Integrative & Complementary Medicine,0
Anesthesiology,Legal Medicine,0
Anesthesiology,Life Sciences & Biomedicine - Other Topics,0
Anesthesiology,Linguistics,0.1270001270001905
Anesthesiology,Marine & Freshwater Biology,0
Anesthesiology,Materials Science,0
Anesthesiology,Mathematical & Computational Biology,0
Anesthesiology,Mathematics,0
Anesthesiology,Mechanics,0
Anesthesiology,Medical Informatics,0
Anesthesiology,Medical Laboratory Technology,0
Anesthesiology,Metallurgy & Metallurgical Engineering,0
Anesthesiology,Meteorology & Atmospheric Sciences,0
Anesthesiology,Microbiology,0
Anesthesiology,Mineralogy,0
Anesthesiology,Mining & Mineral Processing,0
Anesthesiology,Music,0
Anesthesiology,Mycology,0
Anesthesiology,Neurosciences & Neurology,0
